Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,Face Covering Requirements,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
5/20/2020 13:59:04,Ohio,5/12/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"“Consumer, retail and other services may resume starting May 12. All businesses must follow specific social distancing guidelines.”",https://www.npr.org/847413697
5/20/2020 14:00:03,Ohio,5/15/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,,"“Restaurants and bars can reopen outdoor dining on May 15 and dine-in service on May 21, in line with recommended and mandatory best practices.”",https://www.npr.org/847413697
5/20/2020 13:47:41,Oklahoma,4/24/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"“Beginning April 24, personal care businesses can reopen for appointments if they adhere to strict sanitation protocols and are located in communities without additional restrictions in place. State parks and outdoor recreation areas can also reopen.”",https://www.npr.org/847415273#oklahoma
5/20/2020 13:48:28,Oklahoma,5/1/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"“Beginning May 1, restaurant dining rooms, movie theaters and gyms may reopen, provided they enforce strict sanitation and social distancing measures. Tattoo parlors can reopen only for appointments, and places of worship can reopen if they leave every other row or pew open.”",https://www.npr.org/847415273#oklahoma
5/20/2020 13:33:45,Oregon,5/5/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Brown announced the limited reopening of some state parks, outdoor recreation facilities and ski areas beginning May 5. """,https://www.npr.org/847416108#oregon
5/20/2020 13:41:25,Oregon,5/15/2020,Selected counties (based on specific metrics),,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Beginning May 15 across the state, standalone retail businesses such as furniture stores, art galleries, jewelry shops and boutiques can reopen if they comply with state guidelines."" and ""Restaurants and bars can reopen for limited sit-down service until 10:00 p.m., personal care services like salons and gyms can resume limited operations and local in-person gatherings of up to 25 people are permitted. All retail businesses, including malls and shopping centers, can open.""",https://www.npr.org/847416108#oregon
5/20/2020 13:21:44,Pennsylvania,5/8/2020,Selected counties (based on specific metrics),,,Shelter-in-place order lifted,Banned gatherings of a certain size,25,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""On May 8, 24 counties moved into the yellow phase of reopening. In the yellow or ""aggressive mitigation"" phase, some restrictions on work and social interaction are lifted while limits on gathering size and closures of certain businesses remain in place. "" and ""Restaurants and Bars May Open Outdoor Dining, in Addition to Carry-Out and Delivery "" and ""In-Person Retail Allowable, Curbside and Delivery Preferable""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#pennsylvania and https://www.governor.pa.gov/plan-for-pennsylvania/ and https://www.governor.pa.gov/process-to-reopen-pennsylvania/#A
5/20/2020 13:22:58,Pennsylvania,5/15/2020,Selected counties (based on specific metrics),,,Shelter-in-place order lifted,Banned gatherings of a certain size,25,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""An additional 13 counties entered the yellow phase on May 15.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#pennsylvania and https://www.governor.pa.gov/process-to-reopen-pennsylvania/#A
5/20/2020 13:22:58,Pennsylvania,5/15/2020,Selected counties (based on specific metrics),,,Shelter-in-place order lifted,Banned gatherings of a certain size,25,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Another 12 counties moved to the yellow phase on May 22.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#pennsylvania and https://www.governor.pa.gov/process-to-reopen-pennsylvania/#A
5/11/2020 11:30:43,Puerto Rico,5/4/2020,State-wide,,,,,,Face covering requirements for some workers,,,Non-essential businesses allowed to operate possibly with extra requirements,"""Beginning May 4, some smaller businesses are allowed to open if they practice social distancing and provide protective equipment to employees. Examples include professional services organizations like mortgage brokers, real estate agents, accountants, engineers and medical specialists."" and """" Everyone must wear a mask when entering any business.""""",https://www.npr.org/2020/05/01/847415273/south-coronavirus-related-restrictions-by-state
