Country_Region,Province_State,Regions,State of emergency declared,Date Enacted,Planned End Date,Actual End Date,Measure Called,Type,Comments,Leaving Residence Allowed,K-12 School Closure,Non-essential Business Closure,Non-essential Retail Closure,Bar/Sitdown-restaurant Closure,Out-of-state travel restrictions,Gathering banned,Gathering (deprecated),Reference,Reference,,Coding,Definition
United States,Rhode Island,All,03-09-2020,03-28-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,25 or more,"6 feet apart, prohibit gathering of >5",https://www.providencejournal.com/news/20200328/ri-tightens-restrictions-after-2-virus-deaths,,,,
United States,Tennessee,All,03-12-2020,03-31-2020,,,Stay at home,Level 1 Lockdown,Advise to stay home,Some Restriction,Temporary,Yes,Yes,Yes,No,10 or more,,https://www.tennessean.com/story/news/health/2020/03/30/tennessee-governor-bill-lee-stay-at-home-order-to-stop-coronavirus/2937429001/,,,,
United States,Vermont,All,03-16-2020,03-25-2020,04-15-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,Limited quarantine,10 or more,,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,,,,
United States,Virginia,All,03-12-2020,03-30-2020,06-10-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,No,10 or more,"6 feet apart, prohibit gathering of >10",https://www.roanoke.com/news/virginia/gov-northam-to-issue-stay-at-home-order/article_b80fb621-1eca-57dd-b8e4-67c8a7dd8ebc.html,,,,
United States,Washington,All,02-29-2020,03-23-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://www.documentcloud.org/documents/6817957-20-25-Coronovirus-Stay-Safe-Stay-Healthy.html,,,,
United States,West Virginia,All,03-04-2020,03-24-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,6 feet apart,https://dhhr.wv.gov/COVID-19/Pages/Governor-Issues-Stay-at-Home-Order.aspx,,,,
United States,Wisconsin,All,03-12-2020,03-25-2020,04-24-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,6 feet apart unless hosehold,,,,,
United States,Mississippi,All,03-04-2020,04-03-2020,04-20-2020,,Shelter in Place,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,No,No,All,,https://www.vicksburgpost.com/2020/04/01/reeves-issues-statewide-shelter-in-place-order/,,,,
United States,Alabama,All,03-13-2020,04-04-2020,04-30-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,No,10 or more,,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,
United States,Missouri,All,03-13-2020,04-06-2020,04-24-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,No,Regional,10 or more,,https://governor.mo.gov/stay-home-missouri-order-guidance-and-frequently-asked-questions,,,,
