,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
6,2020-03-27,10488084,230737848,20.800000000000004,20.800000000000004,0.9999999999999999,0.7559836858667416,North Carolina
7,2020-03-28,10488084,230737848,21.6,21.6,0.9999999999999999,0.7630181833021168,North Carolina
8,2020-03-30,10488084,230737848,22.0,22.0,0.9999999999999999,0.9999999999999999,North Carolina
9,2020-05-08,10488084,230737848,22.0,22.0,0.9999999999999999,0.9999999999999999,North Carolina
10,2020-05-22,10488084,230737848,22.0,22.0,0.9999999999999999,0.9999999999999999,North Carolina
0,2020-03-07,19453561,194535610,0.9999999999999999,0.9999999999999999,1.0,0.1,New York
1,2020-03-08,19453561,194535610,1.3,1.3,1.0,0.1149202400527081,New York
2,2020-03-12,19453561,194535610,3.0999999999999996,3.0999999999999996,1.0,0.30497341335090267,New York
3,2020-03-13,19453561,194535610,3.599999999999999,3.599999999999999,1.0,0.31167136443553956,New York
4,2020-03-16,19453561,194535610,3.8999999999999995,3.8999999999999995,1.0,0.3312103629767321,New York
5,2020-03-22,19453561,194535610,10.0,10.0,1.0,1.0,New York
6,2020-04-15,19453561,194535610,10.0,10.0,1.0,1.0,New York
7,2020-05-15,19453561,194535610,10.0,10.0,1.0,1.0,New York
8,2020-05-27,19453561,194535610,10.0,10.0,1.0,1.0,New York
0,2020-03-11,2096829,2096829,0.1,0.1,1.0,0.1,New Mexico
1,2020-03-24,2096829,2096829,1.0,1.0,1.0,1.0,New Mexico
2,2020-05-06,2096829,2096829,1.0,1.0,1.0,1.0,New Mexico
3,2020-05-16,2096829,2096829,1.0,1.0,1.0,1.0,New Mexico
4,2020-05-27,2096829,2096829,1.0,1.0,1.0,1.0,New Mexico
0,2020-03-09,8882190,17764380,0.2,0.2,1.0,0.1,New Jersey
1,2020-03-10,8882190,17764380,0.8,0.8,1.0,0.4,New Jersey
2,2020-03-14,8882190,17764380,1.4,1.4,1.0,0.4036109337899775,New Jersey
3,2020-03-16,8882190,17764380,2.0,2.0,1.0,1.0,New Jersey
4,2020-03-21,8882190,17764380,2.0,2.0,1.0,1.0,New Jersey
5,2020-05-13,8882190,17764380,2.0,2.0,1.0,1.0,New Jersey
0,2020-03-13,1934408,110261256,5.699999999999996,5.699999999999996,1.0000000000000002,0.09999999999999999,Nebraska
1,2020-03-19,1934408,110261256,7.19999999999999,7.19999999999999,1.0,0.3028452632536673,Nebraska
2,2020-03-25,1934408,110261256,9.199999999999983,9.199999999999983,1.0000000000000002,0.4057092919384123,Nebraska
3,2020-03-29,1934408,110261256,11.199999999999983,11.199999999999983,1.0000000000000002,0.4202677511672823,Nebraska
4,2020-03-30,1934408,110261256,17.200000000000003,17.200000000000003,1.0000000000000002,0.44187255222269567,Nebraska
5,2020-03-31,1934408,110261256,22.70000000000004,22.70000000000004,1.0,0.4786623607842814,Nebraska
6,2020-04-01,1934408,110261256,30.20000000000004,30.20000000000004,0.9999999999999999,0.5000110111207149,Nebraska
7,2020-04-03,1934408,110261256,34.20000000000004,34.20000000000004,0.9999999999999999,0.6,Nebraska
