State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference
Missouri,Regional,Kansas City,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Jackson, Clay, and Platte counties and Kansas City and Belton issued stay-at-home orders on March 22.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,491918,https://www.census.gov/quickfacts/kansascitycitymissouri
Missouri,Regional,Maryville,4/1/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 29, Maryville issued a shelter-in-place order effective April 1 through April 14 at the earliest. and ""On March 31, Crawford County issued a shelter-in-place order effective April 1 through April 30."" and ""Johnson County issued a stay-at-home ord",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,11687,https://www.census.gov/quickfacts/maryvillecitymissouri
Missouri,Regional,St. Joseph,3/24/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"St. Charles County issued a stay-at-home order effective March 24. and ""Jefferson County issued a stay-at-home order effective from March 24 through April 23."" and ""Cass County issued a stay-at-home order effective March 24 through April 24."" and ""St. Jos",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,75959,https://www.census.gov/quickfacts/fact/table/stjosephcitymissouri/INC110218
Missouri,Regional,West Plains,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 27, Cole County issued a stay-at-home order effective March 28 until April 11. and ""West Plains issued a stay-at-home order effective March 28 through April 15.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,12257,https://www.census.gov/quickfacts/westplainscitymissouri
Missouri,Regional,Jackson County,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Jackson, Clay, and Platte counties and Kansas City and Belton issued stay-at-home orders on March 22.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14 10:25:31,703011,https://www.census.gov/quickfacts/jacksoncountymissouri
Missouri,Regional,St. Louis County,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,St. Louis and St. Louis County issued a stay-at-home order effective March 23 to April 22.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14 10:26:12,994205,https://www.census.gov/quickfacts/stlouiscountymissouri
Montana,State-wide,Montana,3/12/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 12, Governor Steve Bullock declared a state of emergency in Montana.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,2020-04-14,1068778,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769993
Montana,State-wide,Montana,3/16/20,NA,NA,NA,Suggested limiting of gatherings,NA,Schools closed,NA,NA,"Mid-day March 15, Governor Bullock issued an executive order that closed all public schools in the state for two weeks beginning March 16 and lasting until March 27. In addition, the governor ordered the suspension of all nursing home visits with the exce",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,2020-04-14,1068778,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769994
Montana,State-wide,Montana,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,Governor Bullock signed a pair of executive orders on March 26 enforcing a stay-at-home order for all Montana residents beginning at midnight on March 28 and ending on April 10. The executive order also forced all non-essential businesses to fully close.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,2020-04-14,1068778,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769995
Montana,State-wide,Montana,3/20/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"On March 20, Governor Bullock announced measures that would close all sit-down and dine-in food services, all alcoholic beverage businesses, casinos, and other businesses that serve groups of people at one time. The closure began at 8:00 p.m. that same da",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,2020-04-14,1068778,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769996
Nebraska,State-wide,Nebraska,3/13/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,March 13 ‚Äì State of Emergency,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,1934408,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769997
Nebraska,State-wide,Nebraska,4/3/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 3, State Directed Health Measures (DHMs) were issued to cover all 93 counties in the state until May 11",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,1934408,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769998
Nebraska,Regional,Adams,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,31363,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770204
Nebraska,Regional,Antelope,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,6298,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770205
Nebraska,Regional,Arthur,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,463,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770206
Nebraska,Regional,Banner,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,745,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770207
Nebraska,Regional,Box Butte,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,10783,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770208
Nebraska,Regional,Boyd,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,1919,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770209
Nebraska,Regional,Brown,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,2955,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770210
Nebraska,Regional,Buffalo,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,49659,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770211
Nebraska,Regional,Burt,3/29/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 29, Governor Ricketts issued the state's fourth COVID-19 related Directed Health Measure (DHM) that included Burt, Cuming, Madison, and Stanton counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,6459,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770212
Nebraska,Regional,Butler,4/28/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 28, Governor Ricketts announced the state's third COVID-19 related Directed Health Measure (DHM) that included Butler, Hall, Hamilton, Merrick, Polk, Seward, and York counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,8016,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770213
Nebraska,Regional,Cass,3/19/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"Today, Governor Pete Ricketts announced the State‚Äôs first Directed Health Measure (DHM) for coronavirus disease 2019 (COVID-19). The DHM imposes an enforceable limit on public gatherings. The measure comes after the Douglas County Public Health Departme",https://governor.nebraska.gov/sites/governor.nebraska.gov/files/doc/press/Governor%20Press%20Release%203-19%20-%20SPANISH.pdf,2020-04-14,26248,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770214
Nebraska,Regional,Cherry,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,5689,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770215
Nebraska,Regional,Cheyenne,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,8910,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770216
Nebraska,Regional,Clay,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,6203,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770217
Nebraska,Regional,Cuming,3/29/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 29, Governor Ricketts issued the state's fourth COVID-19 related Directed Health Measure (DHM) that included Burt, Cuming, Madison, and Stanton counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,8846,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770218
Nebraska,Regional,Dawes,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,8589,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770219
Nebraska,Regional,Dawson,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,23595,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770220
Nebraska,Regional,Deuel,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,1794,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770221
Nebraska,Regional,Dodge,3/25/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"The second DHM, issued on March 25th, applies to Dodge, Lancaster, Saunders, and Washington counties and is in effect until at least May 6th.",http://dhhs.ne.gov/Pages/Gov-Ricketts-Announces-Butler-Hall-Hamilton-Merrick-Polk-Seward-York-Counties-Now-Included-in-States-DHM.aspx/,2020-04-14,36565,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770222
Nebraska,Regional,Douglas,3/19/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"Today, Governor Pete Ricketts announced the State‚Äôs first Directed Health Measure (DHM) for coronavirus disease 2019 (COVID-19). The DHM imposes an enforceable limit on public gatherings. The measure comes after the Douglas County Public Health Departme",https://governor.nebraska.gov/sites/governor.nebraska.gov/files/doc/press/Governor%20Press%20Release%203-19%20-%20SPANISH.pdf,2020-04-14,571327,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770223
Nebraska,Regional,Franklin,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,2979,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770224
Nebraska,Regional,Garden,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,1837,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770225
Nebraska,Regional,Gosper,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,1990,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770226
Nebraska,Regional,Grant County,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,623,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770227
Nebraska,Regional,Hall,4/28/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 28, Governor Ricketts announced the state's third COVID-19 related Directed Health Measure (DHM) that included Butler, Hall, Hamilton, Merrick, Polk, Seward, and York counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,61353,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770228
Nebraska,Regional,Hamilton,4/28/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 28, Governor Ricketts announced the state's third COVID-19 related Directed Health Measure (DHM) that included Butler, Hall, Hamilton, Merrick, Polk, Seward, and York counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,9324,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770229
Nebraska,Regional,Harlan,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,3380,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770230
Nebraska,Regional,Holt,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,10067,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770231
Nebraska,Regional,Hooker,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,682,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770232
Nebraska,Regional,Kearney,3/31/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,6495,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770233
Nebraska,Regional,Keya Paha,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,806,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770234
Nebraska,Regional,Kimball,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,3632,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770235
Nebraska,Regional,Knox,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,8332,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770236
Nebraska,Regional,Lancaster,3/25/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"The second DHM, issued on March 25th, applies to Dodge, Lancaster, Saunders, and Washington counties and is in effect until at least May 6th.",http://dhhs.ne.gov/Pages/Gov-Ricketts-Announces-Butler-Hall-Hamilton-Merrick-Polk-Seward-York-Counties-Now-Included-in-States-DHM.aspx/,2020-04-14,319090,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770237
Nebraska,Regional,Lincoln,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,34914,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770238
Nebraska,Regional,Logan,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,748,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770239
Nebraska,Regional,McPherson,4/1/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On April 1, Governor Ricketts announced the State's eighth COVID-19 related Directed Health Measure (DHM) that included Antelope, Arthur, Boyd, Brown, Cherry, Holt, Hooker, Keya Paha, Knox, Lincoln, Logan, McPherson, Pierce, Rock, and Thomas counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,494,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770240
Nebraska,Regional,Madison,3/29/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 29, Governor Ricketts issued the state's fourth COVID-19 related Directed Health Measure (DHM) that included Burt, Cuming, Madison, and Stanton counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,35099,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770241
Nebraska,Regional,Merrick,4/28/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 28, Governor Ricketts announced the state's third COVID-19 related Directed Health Measure (DHM) that included Butler, Hall, Hamilton, Merrick, Polk, Seward, and York counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,7755,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770242
Nebraska,Regional,Morrill,3/30/20,NA,NA,NA,Banned gatherings of a certain size,10,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 30, Governor Ricketts announced the state's fifth COVID-19 related Directed Health Measure (DHM) that included Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Grant, Kimball, Morrill, Scotts Bluff, Sheridan, and Sioux counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,2020-04-14,4642,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770243
