State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference
Oklahoma,Regional,Noble,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,11131,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770293
Oklahoma,Regional,Oklahoma County,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,797434,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770294
Oklahoma,Regional,Seminole,3/29/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"As of this advisory, there are 429 positive cases of COVID-19 in Oklahoma. New counties with cases include Garfield, Rogers, Seminole and Texas counties. These counties will now be required to come into compliance with Governor Kevin Stitt's Safer at Home",https://coronavirus.health.ok.gov/articles/situation-update-covid-19-03292020 and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,2020-04-14,46963,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770295
Oklahoma,Regional,Pawnee,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,16376,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770296
Oklahoma,Regional,Payne,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,81784,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770297
Oklahoma,Regional,Pontotoc,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,38284,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770298
Oklahoma,Regional,Rogers,3/29/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"As of this advisory, there are 429 positive cases of COVID-19 in Oklahoma. New counties with cases include Garfield, Rogers, Seminole and Texas counties. These counties will now be required to come into compliance with Governor Kevin Stitt's Safer at Home",https://coronavirus.health.ok.gov/articles/situation-update-covid-19-03292020 and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,2020-04-14,92459,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770299
Oklahoma,Regional,Texas,3/29/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"As of this advisory, there are 429 positive cases of COVID-19 in Oklahoma. New counties with cases include Garfield, Rogers, Seminole and Texas counties. These counties will now be required to come into compliance with Governor Kevin Stitt's Safer at Home",https://coronavirus.health.ok.gov/articles/situation-update-covid-19-03292020 and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,2020-04-14,19983,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770300
Oklahoma,Regional,Wagoner,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,81289,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770301
Oklahoma,Regional,Washington,3/25/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Finally, all 19 counties that had one or more positive cases of coronavirus were to close all nonessential businesses by 11:59 p.m. on March 25, 2020 for 21 days. These include businesses with close personal contact, such as gyms, hair salons, nail salons",https://www.tulsaworld.com/communities/skiatook/news/update-governor-stitt-orders-more-restrictions-and-closings/article_583f1ab2-56e0-5c8d-81ef-64787da7d7b6.html and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklah and https://www.jopling,2020-04-14,51527,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770302
Oklahoma,Regional,Broken Arrow,4/1/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"March 31 – Lawton issued a shelter-in-place order effective April 1. and ""Broken Arrow issued a shelter-in-place order effective April 1."" and ""April 1 – Owasso issued a shelter-in-place order effective April 1 until April 14.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,109171,https://www.census.gov/quickfacts/brokenarrowcityoklahoma
Oklahoma,Regional,Claremore,4/6/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"April 5 – Claremore issued a stay-at-home order effective April 6 through April 30. and ""April 6 – Guthrie issued a shelter-in-place order requiring cloth facemasks outdoors, effective April 6 through May 5.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,18766,https://www.census.gov/quickfacts/claremorecityoklahoma
Oklahoma,Regional,Edmond,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"March 30 – Stillwater issued a shelter-in-place order effective March 30 through April 16. and  ""Edmond issued a shelter-in-place order effective March 30 through April 16.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,93127,https://www.census.gov/quickfacts/edmondcityoklahoma
Oklahoma,Regional,El Reno,4/8/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"April 8 – El Reno issued a shelter-in-place order requiring cloth facemasks outdoors, effective April 8.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,19472,https://www.census.gov/quickfacts/elrenocityoklahoma
Oklahoma,Regional,Guthrie,4/6/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"April 5 – Claremore issued a stay-at-home order effective April 6 through April 30. and ""April 6 – Guthrie issued a shelter-in-place order requiring cloth facemasks outdoors, effective April 6 through May 5.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,11437,https://www.census.gov/quickfacts/guthriecityoklahoma
Oklahoma,Regional,Lawton,4/1/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"March 31 – Lawton issued a shelter-in-place order effective April 1. and ""Broken Arrow issued a shelter-in-place order effective April 1."" and ""April 1 – Owasso issued a shelter-in-place order effective April 1 until April 14.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,92859,https://www.census.gov/quickfacts/lawtoncityoklahoma
Oklahoma,Regional,Moore,4/4/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,April 3 – Moore issued a shelter-in-place order effective April 4 to April 29.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,62103,https://www.census.gov/quickfacts/moorecityoklahoma
Oklahoma,Regional,Norman,3/24/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,Norman issues a stay-at-home order effective March 25 until April 14.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,123471,https://www.census.gov/quickfacts/normancityoklahoma
