Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/10/2020 15:20:35,Arizona,03-17-2020,Tucson and Phoenix,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"""Tucson mayor Regina Romero declared a local emergency on March 17,[18] ordering many businesses to close, limiting restaurants to drive-thru and takeout. The emergency proclamation was released on the afternoon of St. Patrick's Day, one of the busiest drinking days of the year. All bars, theaters, museums, gyms, bowling alleys and other recreation and entertainment businesses were under a mandatory shutdown as of 8 p.m. and remain closed through the end of March. Among the exceptions: grocery stores, pharmacies, food pantries, banks, or vendors located at universities, houses of worship, at care homes and the Tucson airport."" and ""Similar emergency declarations were announced by other city governments in the Phoenix area, led by mayor Kate Gallego of the city of Phoenix.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona
4/10/2020 15:23:13,Arizona,03-20-2020,"Maricopa, Pinal, Navajo, Coconino, and Graham",,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"""Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa, which had 22 cases as of March 19; Pinal, which had 10; Pima, which had seven; Navajo, which had three; Coconino, which had one; and Graham, which had one.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona
4/10/2020 15:23:56,Arizona,03-31-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 30, Gov. Ducey issued a statewide stay at home order to stop the spread of new coronavirus, barring Arizonans from leaving their residences except for food, medicine, and other essentials. The order took effect at the close of business March 31.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona
4/10/2020 16:15:03,Arkansas,03-11-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 11, Governor Asa Hutchinson declared a public health emergency in response to the first presumptive case in the state""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:15:54,Arkansas,03-12-2020,"Saline, Jefferson, Pulaski, and Grant",,,,,,Schools closed,,,"""On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:16:32,Arkansas,03-17-2020,State-wide,,,,,,Schools closed,,,"""On March 15, Hutchinson reported during a press conference that all public schools in the state would be closing starting on March 17.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:17:39,Arkansas,03-19-2020,State-wide,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"""On March 19, Hutchinson extended public school closures until April 17 and ordered restaurants and bars to offer take-out services only.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:23:05,Arkansas,03-24-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed,"""Smith announced that barber shops, beauty and nail salons, massage parlors, and tattoo shops would close beginning Tuesday, March 24"" ",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:23:57,California,03-04-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 4, when 53 cases had been confirmed within the state and there had been one fatality, Governor Gavin Newsom declared a state of emergency""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/10/2020 16:25:19,California,03-12-2020,State-wide,,,,Banned gatherings of a certain size,250,,,,"""On March 12, Governor Newsom announced that mass gatherings over 250 people were banned until the end of March. He also issued an order to permit the state to commandeer hotels and medical facilities to treat coronavirus patients. In Santa Clara County, all gatherings of 100 or more people were banned, and gatherings of 35 or more people were banned unless they satisfied public health restrictions.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
