,State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference,Coverage.county.FIPS,Coverage.city.FIPS,population_reference.1,Unnamed: 0.1,Face Covering Requirements,Details (if any) 
37,California,Regional,Placer,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,398329,6.0,61,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770103,,,
38,California,Regional,Sacramento,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1552058,6.0,67,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770104,,,
39,California,Regional,San Diego,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,3338330,6.0,73,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770105,,,
40,California,Regional,San Francisco,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,881549,6.0,75,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770106,,,
41,California,Regional,San Joaquin,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,762148,6.0,77,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770107,,,
42,California,Regional,San Luis Obispo,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,283111,6.0,79,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770108,,,
43,California,Regional,San Mateo,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,766573,6.0,81,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770109,,,
44,California,Regional,Santa Clara,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1927852,6.0,85,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770110,,,
45,California,Regional,Santa Clara,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1927852,6.0,85,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770111,,,
46,California,Regional,Santa Cruz County,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,273213,6.0,87,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770112,,,
