,State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference,Coverage.county.FIPS,Coverage.city.FIPS,population_reference.1,Unnamed: 0.1,Face Covering Requirements,Details (if any) 
344,Nebraska,Regional,Webster,03-31-2020,,,,Banned gatherings of a certain size,10.0,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),,"On March 31, Governor Ricketts issued the State's sixth and seventh COVID-19 related Directed Health Measures (DHMs) that included Adams, Buffalo, Clay, Dawson, Franklin, Gosper, Harlan, Kearney, Nuckolls, Phelps, and Webster counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,4/14/20,3487,31.0,181,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770258,,,
345,Nebraska,Regional,York County,04-28-2020,,,,Banned gatherings of a certain size,10.0,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),,"On March 28, Governor Ricketts announced the state's third COVID-19 related Directed Health Measure (DHM) that included Butler, Hall, Hamilton, Merrick, Polk, Seward, and York counties.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,4/14/20,13679,31.0,185,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770259,,,
346,Nevada,State-wide,Nevada,03-17-2020,,,,Suggested limiting of gatherings,,,,Non-essential businesses closed,"On March 17, Governor Steve Sisolak ordered all non-essential businesses closed for 30 days.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-403 and https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Directive-013-Release-Guidance-Directive.pdf,4/14/20,3080156,32.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769999,,,
347,Nevada,State-wide,Nevada,03-12-2020,State of Emergency declared,,,,,,,,Governor Steve Sisolak declared a State of Emergency on March 12 to help move emergency resources ...,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/14/20,3080156,32.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770000,,,
348,Nevada,State-wide,Nevada,03-24-2020,,,,Banned gatherings of a certain size,10.0,,,,... ordered Nevadans to cease congregating in groups of ten or more in public spaces;,https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Directive-013-Release-Guidance-Directive.pdf,4/14/20,3080156,32.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770001,,,
349,Nevada,State-wide,Nevada,03-15-2020,,,,,,Schools closed,,,"... on March 15, Sisolak announces that all schools in the area will be closed until the minimum of April 6.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/14/20,3080156,32.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770002,,,
350,New Hampshire,State-wide,New Hampshire,03-15-2020,,,,,,Schools closed,,,"Over the next few days, more measures to limit the spread of the virus were announced including the closure of K-12 public schools on March 15, 2020, ...",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,4/14/20,1359711,33.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770003,,,
351,New Hampshire,State-wide,New Hampshire,03-13-2020,State of Emergency declared,,,,,,,,"On March 13, 2020, with the seventh case reported in the state, Governor Chris Sununu declared a state of emergency, which limited visitors to assisted living and long-term care facilities, and suspended out-of-state trips for state employees.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,4/14/20,1359711,33.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770004,,,
352,New Hampshire,State-wide,New Hampshire,03-27-2020,,,Shelter-in-place order,,,,,,"On March 26, 2020 Governor Sununu announced a stay-at-home order going into effect the following day at midnight requiring the closure of all non-essential in-person businesses.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,4/14/20,1359711,33.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770005,,,
353,New Hampshire,State-wide,New Hampshire,03-16-2020,,,,Banned gatherings of a certain size,50.0,,Bar and dine-in restaurant closed (except take-out and delivery),,"... and on March 16, 2020 the closure of restaurants and bars except for takeout and delivery and a limit on gatherings of more than fifty people.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,4/14/20,1359711,33.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770006,,,
354,New Jersey,State-wide,New Jersey,03-09-2020,State of Emergency declared,,,,,,,,"On March 9, Governor Phil Murphy declared a state of emergency.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,4/14/20,8882190,34.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770007,,,
355,New Jersey,State-wide,New Jersey,03-10-2020,,,,,,Schools closed,,,"A day later, schools and universities began closing and switching classes to online.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,4/14/20,8882190,34.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770008,,,
356,New Jersey,State-wide,New Jersey,03-16-2020,,,Night-time curfew,Banned gatherings of a certain size,50.0,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Gatherings of 50 or more people were prohibited, in line with federal guidelines. Governor Murphy suggested a statewide curfew of 8 p.m. All bars, casinos, gyms, movie theaters, and restaurants were closed indefinitely on the 16th at 8 p.m., though bars a",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,4/14/20,8882190,34.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770009,,,
357,New Jersey,State-wide,New Jersey,03-21-2020,,,Shelter-in-place order,,,,,,Governor Murphy announced a statewide stay-at-home order that all non-essential businesses in the state would be closed indefinitely by 9 p.m. on the 21st.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,4/14/20,8882190,34.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770010,,,
358,New Jersey,Regional,City of Hoboken,03-14-2020,,,Night-time curfew,,,,,,"On March 14, the mayor of Hoboken declared a mandatory nightly curfew",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,4/14/20,53455,34.0,,32250.0,https://www.census.gov/quickfacts/hobokencitynewjersey,,,
359,New Mexico,State-wide,New Mexico,03-11-2020,State of Emergency declared,,,,,,,,"On March 11, Governor Michelle Lujan Grisham declared a state of emergency.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-403,4/14/20,2096829,35.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770011,,,
360,New Mexico,State-wide,New Mexico,03-24-2020,,,Shelter-in-place order,,,,,,March 23: Governor Grisham announced a statewide stay-at-home order that requires 100% of non-essential business workforce to work from home effective March 24.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,4/14/20,2096829,35.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770012,,,
361,New York,State-wide,New York,03-22-2020,,,Shelter-in-place order,,,,,,"Cuomo announced the statewide stay-at-home order, also known as the NYS on Pause Program, with a mandate that all non-essential workers work from home beginning at 8pm on March 22, 2020.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,19453561,36.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770013,,,
362,New York,State-wide,New York,03-12-2020,,,,Banned gatherings of a certain size,500.0,,,,"On March 12, Cuomo announced restrictions on mass gatherings, directing events with more than 500 people to be cancelled or postponed and any gathering with fewer than 500 people to cut capacity by 50 percent.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,19453561,36.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770014,,,
363,New York,State-wide,New York,03-07-2020,State of Emergency declared,,,,,,,,"On March 7, Governor Andrew Cuomo declared a state of emergency.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,19453561,36.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770015,,,
364,New York,Regional,Dutchess,03-13-2020,,,,,,Schools closed,,,"The next day, all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks. The Warwick schools in Orange County",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,294218,36.0,27,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770260,,,
365,New York,Regional,Herkimer,03-13-2020,,,,,,Schools closed,,,"The next day, all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks. The Warwick schools in Orange County",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,61319,36.0,43,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770261,,,
366,New York,Regional,Nassau,03-16-2020,,,,,,Schools closed,,,"On March 15, Cuomo announced that New York City schools would close the following day through April 20, and gave the city 24 hours to come up with a plan for child care and food. and ""Public schools in Westchester, Suffolk, and Nassau would close on March",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,1356924,36.0,59,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770262,,,
367,New York,Regional,Orange,03-13-2020,,,,,,Schools closed,,,"The next day, all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks. The Warwick schools in Orange County",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,384940,36.0,71,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770263,,,
368,New York,Regional,Warwick,03-13-2020,,,,,,Schools closed,,,"The next day, all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks. The Warwick schools in Orange County",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,384940,36.0,71,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770264,,,
369,New York,Regional,Suffolk,03-16-2020,,,,,,Schools closed,,,"On March 15, Cuomo announced that New York City schools would close the following day through April 20, and gave the city 24 hours to come up with a plan for child care and food. and ""Public schools in Westchester, Suffolk, and Nassau would close on March",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,1476601,36.0,103,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770265,,,
370,New York,Regional,Ulster,03-13-2020,,,,,,Schools closed,,,"The next day, all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks. The Warwick schools in Orange County",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,177573,36.0,111,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770266,,,
371,New York,Regional,Scarsdale,03-08-2020,,,,,,Schools closed,,,"A number of schools and school districts announced closings or schedule modifications by March 8 due to the virus. and ""Columbia, Hofstra and Yeshiva universities canceled classes, and public schools in the suburb of Scarsdale will close for the week.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response and https://www.nytimes.com/2020/03/09/nyregion/coronavirus-new-york.html,4/14/20,967506,36.0,119,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770267,,,
372,New York,Regional,Westchester,03-16-2020,,,,,,Schools closed,,,"On March 15, Cuomo announced that New York City schools would close the following day through April 20, and gave the city 24 hours to come up with a plan for child care and food. and ""Public schools in Westchester, Suffolk, and Nassau would close on March",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,4/14/20,967506,36.0,119,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770268,,,
373,New York,Regional,New York City,03-16-2020,,,,,,Schools closed,,,"On March 15, Cuomo announced that New York City schools would close the following day through April 20, and gave the city 24 hours to come up with a plan for child care and food. and ""Public schools in Westchester, Suffolk, and Nassau would close on March",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,2020-04-14 14:35:55,8398748,,,,https://www.census.gov/quickfacts/newyorkcitynewyork,,,
374,New York,Regional,New York City,03-17-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"New York City Mayor de Blasio also announced that all schools, bars, and restaurants in the city were to be closed starting 9 a.m. on March 17, except for food takeout and delivery.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,2020-04-14 14:36:48,8398748,,,,https://www.census.gov/quickfacts/newyorkcitynewyork,,,
375,North Carolina,State-wide,North Carolina,03-30-2020,,,Shelter-in-place order,,,,,,"On March 27, Governor Cooper issued a statewide stay-at-home order effective March 30 until April 29.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,10488084,37.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770016,,,
376,North Carolina,State-wide,North Carolina,03-10-2020,State of Emergency declared,,,,,,,,"On March 10, Governor Roy Cooper declared a state of emergency after five more cases tested presumptive positive on March 9.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,10488084,37.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770017,,,
377,North Carolina,State-wide,North Carolina,03-23-2020,,,,Banned gatherings of a certain size,50.0,,,Some (cherry-picked) businesses closed,"On March 23, Governor Cooper closed all K-12 public school statewide through May 15, bans mass gatherings over 50 people, and closes some businesses including: gyms, movie theaters, sweepstakes parlors, health clubs and other similar facilities.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,10488084,37.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770018,,,
378,North Carolina,State-wide,North Carolina,03-17-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"On March 17, Governor Cooper ordered all of the state's bars and restaurants to suspend dine-in service",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,10488084,37.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770019,,,
379,North Carolina,State-wide,North Carolina,03-14-2020,,,,Banned gatherings of a certain size,100.0,Schools closed,,,"On March 14, Governor Cooper forbids all events and gatherings of 100 or more people. On the same day, he also ordered all of the state's public schools to be closed for a minimum of two weeks",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,10488084,37.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770020,,,
380,North Carolina,Regional,Buncombe,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,261191,37.0,21,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770269,,,
381,North Carolina,Regional,Cabarrus,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,216453,37.0,25,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770270,,,
382,North Carolina,Regional,Clay,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,11231,37.0,43,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770271,,,
383,North Carolina,Regional,Guilford,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,537174,37.0,81,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770272,,,
384,North Carolina,Regional,Henderson,03-28-2020,,,Shelter-in-place order,,,,,,"Rutherford County and several of its towns (Bostic, Forest City, Lake Lure, Rutherfordton, and Spindale) issued a stay-at-home order effective March 28 until April 17. and ""Henderson County issued a stay-at-home order effective March 28.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,117417,37.0,89,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770273,,,
385,North Carolina,Regional,Madison,03-25-2020,,,Shelter-in-place order,,,,,,"Madison County issued a stay-at-home recommendation. and  ""Pitt County and the Town of Beaufort on the coast have issued shelter-in-place orders effective March 25."" and ""Beaufort's order is effective March 25 until April 22."" and ""Durham's stay-at-home",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,21755,37.0,115,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770274,,,
386,North Carolina,Regional,Mecklenburg,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,1110356,37.0,119,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770275,,,
387,North Carolina,Regional,Orange,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,148476,37.0,135,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770276,,,
388,North Carolina,Regional,Pitt,03-25-2020,,,Shelter-in-place order,,,,,,"Madison County issued a stay-at-home recommendation. and  ""Pitt County and the Town of Beaufort on the coast have issued shelter-in-place orders effective March 25."" and ""Beaufort's order is effective March 25 until April 22."" and ""Durham's stay-at-home",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,180742,37.0,147,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770277,,,
389,North Carolina,Regional,Rutherford,03-28-2020,,,Shelter-in-place order,,,,,,"Rutherford County and several of its towns (Bostic, Forest City, Lake Lure, Rutherfordton, and Spindale) issued a stay-at-home order effective March 28 until April 17. and ""Henderson County issued a stay-at-home order effective March 28.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,67029,37.0,161,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770278,,,
390,North Carolina,Regional,Forsyth,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,382295,37.0,67,,https://www.census.gov/quickfacts/forsythcountynorthcarolina,,,
391,North Carolina,Regional,Gaston,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,77024,,71,,"https://en.wikipedia.org/wiki/Gastonia,_North_Carolina",,,
392,North Carolina,Regional,Ayden,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,5116,37.0,,2840.0,https://www.census.gov/quickfacts/aydentownnorthcarolina,,,
393,North Carolina,Regional,Beaufort,03-25-2020,,,Shelter-in-place order,,,,,,"Madison County issued a stay-at-home recommendation. and  ""Pitt County and the Town of Beaufort on the coast have issued shelter-in-place orders effective March 25."" and ""Beaufort's order is effective March 25 until April 22."" and ""Durham's stay-at-home",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,46994,37.0,,4260.0,https://www.census.gov/quickfacts/beaufortcountynorthcarolina,,,
394,North Carolina,Regional,Clemmons,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,20563,37.0,,12960.0,https://www.census.gov/quickfacts/clemmonsvillagenorthcarolina,,,
395,North Carolina,Regional,City of Durham,03-25-2020,,,Shelter-in-place order,,,,,,"Madison County issued a stay-at-home recommendation. and  ""Pitt County and the Town of Beaufort on the coast have issued shelter-in-place orders effective March 25."" and ""Beaufort's order is effective March 25 until April 22."" and ""Durham's stay-at-home",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,274291,37.0,,19000.0,"https://www.census.gov/quickfacts/fact/table/durhamcitynorthcarolina,durhamcountynorthcarolina/PST045218",,,
396,North Carolina,Regional,Greensboro,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,294722,37.0,,28000.0,https://www.census.gov/quickfacts/greensborocitynorthcarolina,,,
397,North Carolina,Regional,Greenville,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,93137,37.0,,28080.0,https://www.census.gov/quickfacts/greenvillecitynorthcarolina,,,
398,North Carolina,Regional,High Point,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,112316,37.0,,31400.0,https://www.census.gov/quickfacts/highpointcitynorthcarolina,,,
399,North Carolina,Regional,Kannapolis,03-26-2020,,,Shelter-in-place order,,,,,,"On March 24, Mecklenburg County, the most populous county on the state, announced a stay-at-home order would come into effect from 8 a.m. on March 26 and last at least until April 16. The order also bans gatherings of more than 10 people. and ""Clay County",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,49761,37.0,,35200.0,https://www.census.gov/quickfacts/fact/table/kannapoliscitynorthcarolina/LND110210,,,
400,North Carolina,Regional,Winston-Salem,03-27-2020,,,Shelter-in-place order,,,,,,"On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16. and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,246328,37.0,,75000.0,https://www.census.gov/quickfacts/winstonsalemcitynorthcarolina,,,
401,North Dakota,State-wide,North Dakota,04-08-2020,,Travel restrictions for out of state travelers,,,,,,,"The state government issued a quarantine order, requiring most individuals to self-quarantine for 14 days upon return to North Dakota from other states or countries with high levels of transmission",https://www.health.nd.gov/sites/www/files/documents/Files/MSS/coronavirus/2020-4-8%20SHO%20Amended%20Confinement%20Order%202020-02.1.pdf and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota#cite_note-4,4/14/20,762062,38.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770021,,,
402,North Dakota,State-wide,North Dakota,03-19-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"On March 19 ... Burgum also restricted restaurants and bars to take-out/delivery/drive-through/off-sale service. He ordered movie theaters, other entertainment venues, health clubs, and gyms to close until April 6.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,4/14/20,762062,38.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770022,,,
403,North Dakota,State-wide,North Dakota,03-13-2020,State of Emergency declared,,,,,,,,"March 13, State of Emergency",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,4/14/20,762062,38.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770023,,,
