,Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links,Unnamed: 0,Face Covering Requirements
9,5/28/2020 14:09:31,California,05-12-2020,Selected counties (based on specific metrics),,,Shelter-in-place order lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Starting May 12, restaurants and shopping centers were allowed to open in counties that meet certain criteria.""",https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/reopening-across-counties/ and https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html and https://covid19.ca.gov/roadmap-counties/,9.0,
10,5/10/2020 9:50:57,Colorado,04-27-2020,State-wide,,,Shelter-in-place order lifted,,,,,,"""Stay-at-home order expired on April 26. Gov. Jared Polis, a Democrat, asked Colorado to transition to a safer at home approach, in which retail businesses could open for curbside pickup and real estate showings could resume.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,10.0,
11,5/10/2020 9:51:42,Colorado,05-01-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Retail and personal services can open (if implementing best practices).""",https://covid19.colorado.gov/safer-at-home,11.0,
12,5/10/2020 9:52:09,Colorado,05-04-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Non-critical offices can reopen (if implementing best practices and lower density).""",https://covid19.colorado.gov/safer-at-home,12.0,
13,5/28/2020 10:47:35,Colorado,05-27-2020,State-wide,,,,,,,Bar and dine-in restaurant open with extra requirements,,"""Beginning on May 27, restaurants will be able to open for in-person dining at 50% capacity of the indoor posted occupancy code limit, but they can not exceed 50 people, whichever is less. They are also encouraged to provide as much outdoor services as possible. Bars will remain closed.""",https://www.colorado.gov/governor/news/governor-polis-issues-guidance-restaurants-summer-camps-and-private-camping,13.0,
14,5/28/2020 13:53:26,Connecticut,05-20-2020,State-wide,,,Shelter-in-place order lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""During the first stage, masks will be required for most activities."" and ""The following businesses would be allowed to reopen on May 20: Eateries would be limited to outdoor seating with no access to their bars. "" and ""Retail stores: This would include smaller stores that can be found in downtown areas across the state. "" and ""Offices: Officials said they recognize that there is some need for a group of employees to go back into offices.""",https://www.courant.com/coronavirus/hc-news-coronavirus-reopen-ct-plan-20200430-eadahcvhgzb5bosk3zohbiksdu-story.html,14.0,Face covering requirements for the public (non-workers) in certain situations
15,5/10/2020 9:56:40,Florida,05-04-2020,Selected counties,,,Shelter-in-place order lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""DeSantis said restaurants and retail spaces could let customers inside, but only at 25% capacity, and people must adhere to social distancing guidelines from the US Centers for Disease Control and Prevention. Restaurants can offer outdoor seating if tables are 6 feet apart. Movie theaters can't reopen yet. Bars, fitness centers and places that offer personal services, likes hair styling, also will open later.""
",https://www.cnn.com/2020/04/29/us/florida-reopening-coronavirus/index.html,15.0,
16,5/28/2020 11:16:18,Florida,05-11-2020,Palm Beach ,,,Shelter-in-place order,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Palm Beach County entered Phase 1 on May 11.""",https://www.npr.org/847415273,16.0,
17,5/28/2020 11:16:57,Florida,05-18-2020,Miami Dade County,,,Shelter-in-place order lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Miami-Dade and Broward counties were approved to enter Phase 1 on May 18.""",https://www.npr.org/847415273,17.0,
18,5/28/2020 11:16:57,Florida,05-18-2020,Broward County,,,Shelter-in-place order lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Miami-Dade and Broward counties were approved to enter Phase 1 on May 18.""",https://www.npr.org/847415273,18.0,
19,5/10/2020 18:15:02,Georgia,04-24-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Kemp announced on April 20 that gyms, fitness centers, bowling alleys, body art studios, barbers, cosmetologists, hair designers, nail care artists, aestheticians, and massage therapists could reopen for business on April 24. """,https://www.npr.org/847415273,19.0,
20,5/10/2020 18:16:11,Georgia,04-27-2020,State-wide,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Theaters, private social clubs and restaurant dine-in services may reopen beginning April 27. Kemp announced that drive-in movies can operate if they comply with the directives of the shelter-in-place order. An April 27 executive order provides additional guidance for food service establishments, bowling alleys and theaters.""",https://www.npr.org/847415273,20.0,
21,5/10/2020 18:16:36,Georgia,04-30-2020,State-wide,,,Shelter-in-place order lifted,,,,,,"""Gov. Brian Kemp issued a statewide shelter-in-place order on April 3, which expired on April 30.""",https://www.npr.org/847415273,21.0,
22,5/10/2020 18:23:49,Hawaii,05-07-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The following businesses and operations can reopen as of May 7: non-food agriculture, auto dealerships, car washes, licensed child care services, pet grooming services, observatories, retail, repair services and shopping malls. They must follow specific social distancing protocols.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#hawaii,22.0,
23,5/10/2020 18:28:14,Idaho,05-01-2020,State-wide,,,Shelter-in-place order lifted,Banned gatherings of a certain size,,,,Non-essential businesses allowed to operate possibly with extra requirements,"""Stay-at-home order expired on April 30. Idaho entered Stage 1 of reopening on May 1. In this period, 90 percent of businesses can resume operations and must follow physical distancing and sanitation protocols. People should avoid gatherings of any size and nonessential travel, and should continue teleworking if possible. If the state meets certain criteria, Stage 2 will begin on May 16.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#hawaii and https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,23.0,
