"","State","X","Timestamp","Effective.Date","Coverage","State.of.Emergency.Declaration","Travel.Restrictions","Shelter.in.place.Order","Gathering.Limitations","Banning.Gatherings.of.a.Certain.Size","K.12.School.Closure","Bar.and.Dine.in.Restaurant.Closure","Non.essential.Businesses.Closure","Details..if.any.","Reference.links","Unnamed..0","Face.Covering.Requirements","state_pop_2019","population_reference","population_reference_URL"
"21","Arizona",108,"4/10/2020 15:20:35","03-17-2020","Tucson and Phoenix","","","","",NA,"","Bar and dine-in restaurant closed (except take-out and delivery)","Non-essential businesses closed","""Tucson mayor Regina Romero declared a local emergency on March 17,[18] ordering many businesses to close, limiting restaurants to drive-thru and takeout. The emergency proclamation was released on the afternoon of St. Patrick's Day, one of the busiest drinking days of the year. All bars, theaters, museums, gyms, bowling alleys and other recreation and entertainment businesses were under a mandatory shutdown as of 8 p.m. and remain closed through the end of March. Among the exceptions: grocery stores, pharmacies, food pantries, banks, or vendors located at universities, houses of worship, at care homes and the Tucson airport."" and ""Similar emergency declarations were announced by other city governments in the Phoenix area, led by mayor Kate Gallego of the city of Phoenix.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona",NA,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"22","Arizona",5,"5/28/2020 10:09:14","05-15-2020","State-wide","","","Shelter-in-place order lifted","",NA,"","","Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements","""The stay-at-home order was replaced on May 16 by an executive order outlining guidance for the next phase of economic recovery. More sectors can reopen incrementally in line with guidance for employers and individuals.""","https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state",5,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"23","Arkansas",109,"4/10/2020 16:16:32","03-17-2020","State-wide","","","","",NA,"Schools closed","","","""On March 15, Hutchinson reported during a press conference that all public schools in the state would be closing starting on March 17.""","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas",NA,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"24","Arkansas",8,"5/28/2020 10:12:21","05-18-2020","State-wide","","","","",NA,"","","Non-essential businesses allowed to operate possibly with extra requirements","""Hutchinson: Starting Monday, May 18th all retailers are open with phase I restrictions specific to their industry under @ADHPIO guidelines. As we move towards next phases I encourage everyone to continue the basic safety measures to keep everyone safe while Arkansas is ready for business.""","https://twitter.com/AsaHutchinson/status/1261451204753674240?s=20",8,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"25","Arkansas",7,"5/10/2020 9:47:21","05-04-2020","State-wide","","","","",NA,"","","Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements","""Among the requirements for gyms and athletic clubs are spacing patrons 12 feet apart, ensuring employees and patrons wear cloth masks except while actively exercising, making hand sanitizer available and sanitizing equipment between each use. Use of showers, pools, spas and saunas is still banned under the requirements.""","https://www.arkansasonline.com/news/2020/apr/30/watch-live-130-gov-speak-coronavirus-response-case/",7,"Face covering requirements for some workers",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"26","Arkansas",6,"5/8/2020 16:27:33","05-11-2020","State-wide","","","","",NA,"","Bar and dine-in restaurant open with extra requirements","","""Arkansas restaurants may reopen their dining rooms on Monday, May 11, Gov. Asa Hutchinson announced Wednesday. Restaurants may only seat 33 percent of their total occupancy when they initially reopen, the governor said.""","https://www.baxterbulletin.com/story/news/local/2020/04/29/arkansas-restaurants-reopening-plan-coronavirus-covid-19-updates-cases-deaths/3048197001/",6,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"27","Arkansas",29,"4/10/2020 16:15:54","03-12-2020","Saline, Jefferson, Pulaski, and Grant","","","","",NA,"Schools closed","","","""On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.""","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas",NA,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"28","Arkansas",135,"4/10/2020 16:17:39","03-19-2020","State-wide","","","","",NA,"","Bar and dine-in restaurant closed (except take-out and delivery)","","""On March 19, Hutchinson extended public school closures until April 17 and ordered restaurants and bars to offer take-out services only.""","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas",NA,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"29","Arkansas",24,"4/10/2020 16:15:03","03-11-2020","State-wide","State of Emergency declared","","","",NA,"","","","""On March 11, Governor Asa Hutchinson declared a public health emergency in response to the first presumptive case in the state""","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas",NA,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"30","Arkansas",185,"4/10/2020 16:23:05","03-24-2020","State-wide","","","","",NA,"","","Some (cherry-picked) businesses closed","""Smith announced that barber shops, beauty and nail salons, massage parlors, and tattoo shops would close beginning Tuesday, March 24"" ","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas",NA,"",3017804,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
