,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
8,2020-03-31,21477737,644332110,29.8,29.8,1.0000000000000002,0.9056052320595975,Florida
9,2020-04-01,21477737,644332110,30.0,30.0,1.0000000000000002,1.0000000000000002,Florida
0,2020-03-12,3080156,3080156,0.1,0.1,1.0,0.1,Nevada
1,2020-03-15,3080156,3080156,0.4,0.4,1.0,0.4,Nevada
2,2020-03-17,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
3,2020-03-24,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
0,2020-03-10,3565287,3565287,0.1,0.1,1.0,0.1,Connecticut
1,2020-03-13,3565287,3565287,0.4,0.4,1.0,0.4,Connecticut
0,2020-03-09,1059361,1059361,0.1,0.1,1.0,0.1,Rhode Island
1,2020-03-16,1059361,1059361,0.4,0.4,1.0,0.4,Rhode Island
2,2020-03-17,1059361,1059361,0.6,0.6,1.0,0.6,Rhode Island
3,2020-03-26,1059361,1059361,0.6,0.6,1.0,0.6,Rhode Island
4,2020-03-28,1059361,1059361,1.0,1.0,1.0,1.0,Rhode Island
0,2020-03-13,10617423,307905267,2.9000000000000012,2.9000000000000012,1.0,0.1,Georgia
1,2020-03-18,10617423,307905267,11.600000000000005,11.600000000000005,1.0,0.4,Georgia
2,2020-03-19,10617423,307905267,12.200000000000006,12.200000000000006,1.0,0.407118337472285,Georgia
3,2020-03-22,10617423,307905267,12.800000000000006,12.800000000000006,1.0,0.4120888091206313,Georgia
4,2020-03-23,10617423,307905267,23.600000000000012,23.600000000000012,1.0,0.8040296030402104,Georgia
5,2020-03-24,10617423,307905267,25.600000000000012,25.600000000000012,1.0,0.8254059577356956,Georgia
6,2020-03-25,10617423,307905267,26.20000000000001,26.20000000000001,1.0,0.8421321444949496,Georgia
7,2020-03-26,10617423,307905267,26.800000000000008,26.800000000000008,1.0,0.8475272389543113,Georgia
8,2020-03-27,10617423,307905267,27.400000000000006,27.400000000000006,1.0,0.8501532057260976,Georgia
9,2020-03-28,10617423,307905267,28.400000000000002,28.400000000000002,0.9999999999999999,0.8836421606259824,Georgia
10,2020-03-30,10617423,307905267,28.6,28.6,0.9999999999999999,0.884020086606703,Georgia
11,2020-04-01,10617423,307905267,28.8,28.8,1.0,0.9040614280885296,Georgia
12,2020-04-02,10617423,307905267,29.0,29.0,1.0,1.0,Georgia
0,2020-03-07,19453561,194535610,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.1,New York
1,2020-03-08,19453561,194535610,1.3,1.3,0.9999999999999999,0.1149202400527081,New York
