date,region,mobility
3/12/2020,AZ,110.59
3/13/2020,AZ,120.62
3/14/2020,AZ,113.76
3/15/2020,AZ,85.38
3/16/2020,AZ,94.73
3/17/2020,AZ,88.27
3/18/2020,AZ,75.71
3/19/2020,AZ,76.44
3/20/2020,AZ,80.42
3/21/2020,AZ,70.35
3/22/2020,AZ,51.77
3/23/2020,AZ,64.11
3/24/2020,AZ,63.48
3/25/2020,AZ,62.87
3/26/2020,AZ,62.83
3/27/2020,AZ,68.31
3/28/2020,AZ,62.77
3/29/2020,AZ,48.89
3/30/2020,AZ,59.53
3/31/2020,AZ,58.64
4/1/2020,AZ,55.66
4/2/2020,AZ,57.09
4/3/2020,AZ,64.52
4/4/2020,AZ,56.58
4/5/2020,AZ,44.47
4/6/2020,AZ,55.74
4/7/2020,AZ,57.27
4/8/2020,AZ,57.05
4/9/2020,AZ,59.81
4/10/2020,AZ,67.34
4/11/2020,AZ,58.92
4/12/2020,AZ,39.08
4/13/2020,AZ,58.1
4/14/2020,AZ,60.25
4/15/2020,AZ,65.15
4/16/2020,AZ,66.07
4/17/2020,AZ,74.91
4/18/2020,AZ,69.2
4/19/2020,AZ,54.55
4/20/2020,AZ,66.37
4/21/2020,AZ,65.41
4/22/2020,AZ,67.08
4/23/2020,AZ,70.15
4/24/2020,AZ,78.6
4/25/2020,AZ,73.7
4/26/2020,AZ,57.21
4/27/2020,AZ,68.56
4/28/2020,AZ,69.72
4/29/2020,AZ,71.36
4/30/2020,AZ,74.91
5/1/2020,AZ,86.46
5/2/2020,AZ,82.43
5/3/2020,AZ,63.34
5/4/2020,AZ,74.81
5/5/2020,AZ,77.27
5/6/2020,AZ,76.81
5/7/2020,AZ,79.84
5/8/2020,AZ,92.28
5/9/2020,AZ,88.21
5/10/2020,AZ,64.73
5/11/2020,AZ,0
5/12/2020,AZ,0
5/13/2020,AZ,86.65
5/14/2020,AZ,90.42
5/15/2020,AZ,105.59
5/16/2020,AZ,102.23
5/17/2020,AZ,82.71
5/18/2020,AZ,94.07
5/19/2020,AZ,96.78
5/20/2020,AZ,98.76
5/21/2020,AZ,104.29
5/22/2020,AZ,122.56
5/23/2020,AZ,113.6
5/24/2020,AZ,94.35
5/25/2020,AZ,91.23
5/26/2020,AZ,101.33
5/27/2020,AZ,102.94
5/28/2020,AZ,105.51
5/29/2020,AZ,118.85
5/30/2020,AZ,112.7
5/31/2020,AZ,89.01
6/1/2020,AZ,96.6
6/2/2020,AZ,97.19
6/3/2020,AZ,100.95
6/4/2020,AZ,104.35
1/13/2020,AR,100
1/14/2020,AR,102.55
1/15/2020,AR,101.93
1/16/2020,AR,106.38
1/17/2020,AR,124.97
1/18/2020,AR,124.45
1/19/2020,AR,88.02
1/20/2020,AR,103.18
1/21/2020,AR,100.14
1/22/2020,AR,90.55
1/23/2020,AR,101.84
1/24/2020,AR,122.27
1/25/2020,AR,122.81
1/26/2020,AR,82.69
1/27/2020,AR,97.97
1/28/2020,AR,98.5
1/29/2020,AR,98.35
1/30/2020,AR,104.2
1/31/2020,AR,125.55
2/1/2020,AR,121.08
2/2/2020,AR,85.56
2/3/2020,AR,96.9
2/4/2020,AR,98.34
2/5/2020,AR,92.08
2/6/2020,AR,103.24
2/7/2020,AR,122.62
2/8/2020,AR,123.14
2/9/2020,AR,83.08
2/10/2020,AR,99.62
2/11/2020,AR,103.37
2/12/2020,AR,101.89
2/13/2020,AR,119.57
2/14/2020,AR,145.81
2/15/2020,AR,133.39
2/16/2020,AR,97.96
2/17/2020,AR,106.32
2/18/2020,AR,103.31
2/19/2020,AR,106.84
2/20/2020,AR,113.83
2/21/2020,AR,137.15
2/22/2020,AR,136.22
2/23/2020,AR,90.93
2/24/2020,AR,104.05
2/25/2020,AR,111.79
2/26/2020,AR,113.3
2/27/2020,AR,121.56
2/28/2020,AR,150.13
2/29/2020,AR,152.21
3/1/2020,AR,101.54
3/2/2020,AR,109.26
3/3/2020,AR,117.42
3/4/2020,AR,115.8
3/5/2020,AR,127.72
3/6/2020,AR,156.65
3/7/2020,AR,158.27
3/8/2020,AR,107.17
3/9/2020,AR,109.99
3/10/2020,AR,121.35
3/11/2020,AR,114.69
3/12/2020,AR,116.86
3/13/2020,AR,123.98
3/14/2020,AR,113.61
3/15/2020,AR,83.41
3/16/2020,AR,90.28
3/17/2020,AR,89.9
3/18/2020,AR,85.06
3/19/2020,AR,82.46
3/20/2020,AR,93.14
3/21/2020,AR,78.79
3/22/2020,AR,53.24
3/23/2020,AR,73.56
3/24/2020,AR,73.12
3/25/2020,AR,80.01
3/26/2020,AR,84.08
3/27/2020,AR,87.19
3/28/2020,AR,72.26
3/29/2020,AR,66.42
3/30/2020,AR,70.48
3/31/2020,AR,74.04
4/1/2020,AR,78.26
4/2/2020,AR,78.26
4/3/2020,AR,79.09
4/4/2020,AR,65.18
4/5/2020,AR,55.58
4/6/2020,AR,72.26
4/7/2020,AR,74.27
4/8/2020,AR,79.33
4/9/2020,AR,81.45
4/10/2020,AR,90.26
4/11/2020,AR,73.49
4/12/2020,AR,46.44
4/13/2020,AR,78.71
4/14/2020,AR,81.44
4/15/2020,AR,88.89
4/16/2020,AR,93.05
4/17/2020,AR,97.37
4/18/2020,AR,92.46
4/19/2020,AR,61.61
4/20/2020,AR,91.16
4/21/2020,AR,94.73
4/22/2020,AR,79.54
4/23/2020,AR,93.89
4/24/2020,AR,101
4/25/2020,AR,95.99
4/26/2020,AR,77.81
4/27/2020,AR,90.46
4/28/2020,AR,88.94
4/29/2020,AR,97.65
4/30/2020,AR,105.96
5/1/2020,AR,120.41
5/2/2020,AR,112.81
5/3/2020,AR,82.15
5/4/2020,AR,99.62
5/5/2020,AR,106.02
5/6/2020,AR,109.74
5/7/2020,AR,110.77
5/8/2020,AR,127.22
5/9/2020,AR,121.01
5/10/2020,AR,85.59
5/11/2020,AR,0
5/12/2020,AR,0
5/13/2020,AR,117.97
5/14/2020,AR,124.36
5/15/2020,AR,131.67
5/16/2020,AR,119.75
5/17/2020,AR,99.19
5/18/2020,AR,126.2
5/19/2020,AR,130.79
